lsoa_code,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count
E01000446,1,0,0,0,1
E01000447,18,1,2,0,15
E01000448,5,0,1,0,4
E01000449,3,1,0,0,2
E01000450,12,1,3,1,7
E01000451,2,0,0,0,2
E01000452,2,0,1,0,1
E01000453,42,28,0,1,13
E01000454,11,1,1,0,9
E01000455,12,3,1,2,6
E01000456,3,0,0,0,3
E01000457,165,121,8,1,35
E01000458,2,0,0,0,2
E01000459,2,0,0,0,2
E01000460,4,0,0,0,4
E01000461,3,0,0,0,3
E01000462,38,18,4,1,15
E01000464,8,0,1,1,6
E01000465,10,0,0,0,10
E01000466,31,1,2,3,25
E01000467,6,2,0,0,4
E01000468,11,0,1,1,9
E01000469,9,0,1,1,7
E01000470,24,6,5,1,12
E01000471,7,0,3,1,3
E01000472,107,10,8,6,83
E01000473,69,1,27,3,38
E01000474,6,0,1,0,5
E01000475,103,61,10,4,28
E01000476,12,0,3,0,9
E01000477,66,24,7,0,35
E01000478,22,0,4,2,16
E01000479,8,0,2,0,6
E01000480,8,0,4,0,4
E01000481,14,1,5,0,8
E01000483,209,188,6,2,13
E01000484,7,0,1,0,6
E01000485,5,1,0,0,4
E01000486,5,0,1,0,4
E01000487,23,1,8,2,12
E01000488,2,0,0,0,2
E01000489,26,1,7,5,13
E01000490,84,27,12,6,39
E01000491,13,0,2,5,6
E01000492,11,0,3,2,6
E01000493,7,1,0,0,6
E01000494,9,0,3,1,5
E01000495,54,20,10,1,23
E01000497,36,13,5,0,18
E01000498,7,0,2,0,5
E01000499,81,47,10,2,22
E01000501,7,0,2,1,4
E01000502,11,0,4,0,7
E01000503,17,0,2,2,13
E01000504,30,6,7,1,16
E01000505,16,0,2,1,13
E01000506,35,5,2,3,25
E01000507,14,0,8,0,6
E01000508,59,22,10,4,23
E01000509,49,18,11,1,19
E01000510,44,6,6,2,30
E01000511,1,0,1,0,0
E01000512,13,0,1,1,11
E01000513,14,0,4,0,10
E01000514,4,0,1,0,3
E01000515,17,0,4,2,11
E01000516,18,7,3,0,8
E01000517,83,38,15,1,29
E01000518,13,0,3,2,8
E01000519,9,0,1,0,8
E01000520,12,1,5,1,5
E01000521,49,8,18,0,23
E01000522,14,1,1,3,9
E01000523,57,5,20,5,27
E01000524,243,121,61,10,51
E01000525,34,1,13,1,19
E01000526,42,11,11,0,20
E01000527,23,0,1,1,21
E01000528,25,0,3,1,21
E01000530,7,0,2,0,5
E01000531,87,72,4,2,9
E01000532,22,0,6,1,15
E01000533,29,2,3,2,22
E01000534,13,0,4,1,8
E01000535,27,1,8,1,17
E01000536,69,44,6,2,17
E01000538,5,0,3,0,2
E01000539,4,0,2,0,2
E01000540,7,1,1,0,5
E01000541,13,2,3,0,8
E01000543,26,6,6,0,14
E01000544,27,0,8,1,18
E01000545,142,10,55,8,69
E01000546,102,80,5,4,13
E01000547,30,6,4,3,17
E01000548,346,138,98,11,99
E01000549,17,1,1,5,10
E01000550,198,87,49,12,50
E01000551,43,11,7,3,22
E01000552,36,0,8,8,20
E01000553,20,1,2,1,16
E01000554,28,8,4,2,14
E01000555,10,0,2,2,6
E01000556,56,4,13,3,36
E01000557,11,0,2,1,8
E01000558,15,0,0,1,14
E01000559,42,29,2,0,11
E01000560,15,0,4,2,9
E01000561,46,0,18,1,27
E01000562,4,0,0,0,4
E01000563,5,0,2,0,3
E01000564,27,6,4,1,16
E01000565,4,0,0,1,3
E01000566,4,0,0,0,4
E01000567,1,0,0,0,1
E01000568,90,7,22,3,58
E01000569,4,0,0,0,4
E01000570,12,0,2,1,9
E01000571,18,2,5,1,10
E01000572,5,0,1,0,4
E01000573,3,0,0,1,2
E01000574,5,0,0,2,3
E01000575,115,72,15,1,27
E01000576,11,2,2,0,7
E01000577,13,1,2,3,7
E01000578,28,0,13,0,15
E01000579,15,0,1,3,11
E01000580,106,64,17,10,15
E01000581,12,3,2,2,5
E01000582,10,0,0,3,7
E01000583,60,4,12,6,38
E01000584,7,0,0,0,7
E01000585,14,0,2,1,11
E01000586,161,41,49,13,58
E01000587,16,8,1,0,7
E01000589,323,270,5,1,47
E01000590,1,0,0,0,1
E01000591,199,130,21,4,44
E01000592,12,0,1,2,9
E01000593,3,0,0,0,3
E01000594,48,14,14,2,18
E01000595,19,1,4,1,13
E01000596,16,0,1,0,15
E01000599,26,4,8,0,14
E01000601,376,256,13,2,105
E01000602,17,0,2,2,13
E01000603,8,0,1,1,6
E01000604,6,0,1,0,5
E01000605,8,1,0,0,7
E01000606,8,0,2,2,4
E01000607,22,6,3,0,13
E01000608,73,29,10,3,31
E01000609,18,1,7,0,10
E01000610,17,0,4,2,11
E01000611,15,2,4,0,9
E01000612,15,0,4,0,11
E01000613,14,0,5,0,9
E01000615,71,18,17,3,33
E01000616,15,2,3,1,9
E01000617,55,1,28,0,26
E01000618,9,0,3,0,6
E01000619,6,0,3,0,3
E01000620,24,0,10,2,12
E01000621,37,6,12,1,18
E01000622,6,0,0,1,5
E01000623,71,50,2,0,19
E01000624,6,1,1,1,3
E01000625,6,0,2,0,4
E01000626,16,0,5,1,10
E01000627,42,6,5,1,30
E01000628,24,1,8,1,14
E01000629,22,1,1,1,19
E01000630,143,33,55,4,51
E01000631,14,0,4,0,10
E01000632,101,6,29,8,58
E01000633,80,4,34,1,41
E01000634,32,1,8,0,23
E01000636,83,26,24,2,31
E01000637,9,0,0,0,9
E01000638,25,3,9,2,11
E01000639,22,0,6,6,10
E01000640,50,28,10,0,12
E01000641,32,5,4,6,17
E01000642,181,96,30,4,51
E01000643,44,3,8,4,29
E01000644,68,14,21,5,28
E01000645,8,0,0,0,8
E01000646,33,27,2,0,4
E01000647,5,1,0,0,4
E01000648,30,17,2,1,10
E01000649,7,0,1,0,6
E01000650,5,0,2,0,3
E01000651,7,0,0,0,7
E01000652,5,1,0,0,4
E01000653,6,0,0,1,5
E01000654,2,0,2,0,0
E01000655,28,24,0,0,4
E01000656,7,4,0,0,3
E01000657,31,22,0,1,8
E01000658,9,3,2,1,3
E01000659,2,0,0,0,2
E01000661,23,0,3,0,20
E01000662,28,2,2,1,23
E01000663,15,11,1,0,3
E01000664,14,1,1,1,11
E01000665,3,1,0,0,2
E01000666,18,4,1,0,13
E01000667,8,0,3,0,5
E01000668,78,48,2,2,26
E01000669,8,0,2,0,6
E01000670,22,3,0,0,19
E01000671,17,0,2,0,15
E01000672,9,1,0,0,8
E01000673,9,1,1,0,7
E01000674,5,0,1,0,4
E01000676,456,202,121,5,128
E01000677,122,39,29,1,53
E01000678,16,6,4,0,6
E01000679,16,4,2,0,10
E01000680,9,0,0,0,9
E01000681,4,0,0,1,3
E01000682,221,214,1,0,6
E01000683,13,0,3,0,10
E01000684,4,0,0,0,4
E01000685,3,0,0,0,3
E01000686,2,0,0,0,2
E01000687,35,22,3,0,10
E01000688,8,0,0,2,6
E01000689,4,0,1,0,3
E01000690,20,15,0,0,5
E01000691,11,7,1,0,3
E01000692,23,5,4,2,12
E01000693,53,40,3,1,9
E01000694,6,0,2,0,4
E01000695,6,0,2,0,4
E01000696,12,2,3,0,7
E01000697,8,1,0,0,7
E01000698,4,0,1,0,3
E01000699,38,29,1,0,8
E01000700,4,0,1,0,3
E01000701,7,0,3,0,4
E01000702,1,0,0,0,1
E01000703,29,11,1,0,17
E01000704,5,0,0,0,5
E01000705,5,0,0,1,4
E01000706,5,0,1,2,2
E01000707,4,0,0,1,3
E01000708,11,0,0,0,11
E01000709,19,1,4,7,7
E01000710,16,0,3,2,11
E01000711,27,22,1,0,4
E01000712,12,0,2,0,10
E01000713,7,0,1,2,4
E01000714,236,159,24,5,48
E01000715,11,1,2,2,6
E01000716,8,2,0,0,6
E01000717,9,0,2,0,7
E01000718,13,2,5,1,5
E01000719,218,188,2,1,27
E01000720,18,0,3,1,14
E01000721,13,0,1,0,12
E01000722,26,6,4,0,16
E01000723,3,1,0,0,2
E01000724,15,0,1,0,14
E01000725,20,1,4,1,14
E01000726,3,0,0,0,3
E01000727,91,76,5,1,9
E01000728,19,3,3,1,12
E01000729,42,29,2,0,11
E01000730,26,8,5,1,12
E01000731,7,1,0,0,6
E01000732,1,0,0,0,1
E01000733,6,0,0,0,6
E01000734,1,0,0,0,1
E01000735,6,1,0,0,5
E01000736,8,0,0,1,7
E01000737,23,1,5,1,16
E01000738,36,11,4,1,20
E01000739,10,0,3,0,7
E01000741,18,5,2,0,11
E01000742,18,0,2,1,15
E01000743,389,373,2,0,14
E01000744,24,9,2,1,12
E01000745,12,0,1,2,9
E01000746,24,1,6,1,16
E01000747,17,0,0,0,17
E01000748,4,0,1,0,3
E01000750,8,0,1,0,7
E01000751,46,12,6,1,27
E01000752,13,2,3,1,7
E01000753,4,0,1,0,3
E01000754,37,26,2,0,9
E01000755,4,0,1,0,3
E01000756,91,77,2,0,12
E01000757,2,0,0,0,2
E01000758,2,2,0,0,0
E01000759,7,0,3,2,2
E01000760,35,23,1,0,11
E01000761,4,0,1,0,3
E01000762,4,1,1,0,2
E01000763,10,2,2,1,5
E01000764,8,0,2,0,6
E01000765,32,15,3,1,13
E01000766,4,0,0,0,4
E01000767,6,0,0,0,6
E01000768,3,0,1,0,2
E01000769,14,0,3,1,10
E01000770,13,1,3,0,9
E01000771,12,2,0,2,8
E01000772,7,3,0,1,3
E01000773,4,0,0,0,4
E01000774,43,0,2,4,37
E01000775,47,23,3,1,20
E01000777,14,8,0,0,6
E01000778,14,8,0,0,6
E01000779,78,59,6,0,13
E01000780,17,0,2,1,14
E01000781,12,0,2,0,10
E01000782,15,4,4,1,6
E01000783,10,0,4,0,6
E01000784,2,0,1,0,1
E01000785,99,85,4,0,10
E01000786,71,66,1,0,4
E01000787,3,0,0,0,3
E01000788,9,1,1,0,7
E01000789,12,1,1,0,10
E01000790,274,164,32,3,75
E01000791,3,0,0,0,3
E01000792,4,0,0,0,4
E01000793,3,0,0,0,3
E01000794,2,0,0,0,2
E01000795,1,0,0,0,1
E01000796,19,0,4,2,13
E01000797,21,2,3,0,16
E01000798,37,1,4,4,28
E01000799,134,81,8,9,36
E01000800,23,8,4,1,10
E01000801,25,8,2,1,14
E01000802,27,13,2,1,11
E01000803,7,0,1,1,5
E01000804,10,2,0,1,7
E01000805,18,1,2,1,14
E01000806,33,7,8,1,17
E01000807,21,7,4,0,10
E01000808,6,0,0,0,6
E01000809,4,0,0,1,3
E01000810,6,0,1,0,5
E01000811,3,0,0,0,3
E01000812,4,0,1,0,3
E01000813,79,69,0,1,9
E01000814,2,0,0,0,2
E01000815,1,0,1,0,0
E01000816,13,0,4,0,9
E01000818,2,0,0,0,2
E01000819,32,11,8,2,11
E01000820,21,4,2,1,14
E01000822,14,1,2,1,10
E01000823,13,0,2,0,11
E01000824,138,120,3,2,13
E01000825,18,0,1,0,17
E01000827,7,3,1,0,3
E01000828,7,1,1,2,3
E01000829,4,0,0,0,4
E01000830,3,0,1,0,2
E01000831,4,0,2,0,2
E01000832,5,1,0,0,4
E01000833,8,1,0,1,6
E01000834,10,0,1,0,9
E01000835,54,30,3,1,20
E01000836,3,0,1,0,2
E01000837,8,1,2,0,5
E01000838,7,0,1,0,6
E01000839,4,0,0,0,4
E01000840,3,0,0,0,3
E01000841,13,0,3,1,9
E01000842,28,1,8,5,14
E01000843,178,135,23,6,14
E01000844,23,0,13,3,7
E01000845,22,0,11,4,7
E01000846,21,0,12,3,6
